Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-17_T2w,0.9478543996810913,0.9008775353431702,25,4,4,18,0.2222222222222222
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-18_T2w,0.9553337097167969,0.9144870042800903,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-19_T2w,0.9675134420394897,0.9370712637901306,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-1_T2w,0.5682963728904724,0.39693713188171387,18,2,2,16,0.125
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-20_T2w,0.9523254036903381,0.9089897274971008,25,4,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-21_T2w,0.9291092753410339,0.8676041960716248,18,2,1,17,0.058823529411764705
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-22_T2w,0.9723825454711914,0.9462494850158691,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-23_T2w,0.971418559551239,0.9444255232810974,19,1,0,19,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-24_T2w,0.8692700862884521,0.7687690258026123,36,4,8,20,0.4
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-25_T2w,0.8937010169029236,0.8078295588493347,45,10,10,20,0.5
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-26_T2w,0.9695981740951538,0.9409903883934021,22,2,1,21,0.047619047619047616
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-2_T2w,0.8775209188461304,0.7817703485488892,27,9,1,19,0.05263157894736842
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-3_T2w,0.9469338655471802,0.8992159962654114,21,3,1,19,0.05263157894736842
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-4_T2w,0.9297828674316406,0.8687796592712402,20,2,1,19,0.05263157894736842
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-5_T2w,0.73976731300354,0.587008535861969,17,3,3,12,0.25
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-6_T2w,0.9202646017074585,0.8523056507110596,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-7_T2w,0.9336203932762146,0.8755047917366028,19,1,0,19,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-8_T2w,0.9070875644683838,0.8299728035926819,12,3,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv224_ses-01_acq-haste_run-9_T2w,0.952905535697937,0.9100472927093506,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv256_ses-01_acq-haste_run-1_T2w,0.9732277393341064,0.9478515982627869,26,2,1,25,0.04
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv256_ses-01_acq-haste_run-3_T2w,0.9739453792572021,0.9492139220237732,24,1,0,24,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv256_ses-01_acq-haste_run-4_T2w,0.9701101779937744,0.9419552683830261,29,1,0,29,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv256_ses-01_acq-haste_run-5_T2w,0.8891462683677673,0.8004170656204224,3,1,0,3,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv256_ses-01_acq-haste_run-6_T2w,0.9745241403579712,0.9503140449523926,26,3,2,23,0.08695652173913043
